               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12115,          0.00073982,          1.7946e-05,             0.19374,            0.055361,            0.044105,            0.022301,            0.012752,          0.00014945,          4.8215e-08,          4.9995e-05,          4.9995e-05,            0.041717
                   1,             0.11101,          0.00055682,          2.3726e-07,              0.8187,             0.55781,             0.64888,             0.36111,             0.01169,          9.2472e-05,             2.4e-08,          0.00019993,          0.00019993,            0.016867
                   2,            0.088997,          0.00041664,          1.8039e-07,             0.78534,             0.60126,             0.68556,             0.40392,           0.0073952,           9.399e-05,          2.4474e-08,          0.00029959,          0.00029959,          0.00029959
                   3,             0.07186,          0.00040877,          1.9967e-07,             0.74873,             0.62435,              0.6945,             0.40251,           0.0072927,          7.5933e-05,          2.5729e-08,          0.00029959,          0.00029959,          0.00029959
                   4,            0.068098,          0.00034807,          2.1054e-07,             0.75491,             0.68115,             0.72956,             0.43563,           0.0071171,          6.3255e-05,           2.646e-08,          0.00029909,          0.00029909,          0.00029909
                   5,            0.067034,          0.00032883,           2.141e-07,              0.7502,              0.6363,             0.70621,             0.42915,           0.0072713,           6.151e-05,          2.7181e-08,          0.00029837,          0.00029837,          0.00029837
                   6,            0.066774,          0.00031938,          2.1237e-07,             0.82231,             0.61808,             0.72525,             0.44719,           0.0069164,          5.8707e-05,          2.7588e-08,          0.00029746,          0.00029746,          0.00029746
                   7,            0.065617,          0.00031185,          2.1968e-07,             0.76882,              0.6321,             0.73866,             0.44537,           0.0069474,          6.3434e-05,          2.7914e-08,          0.00029635,          0.00029635,          0.00029635
                   8,            0.065093,          0.00030678,          2.1887e-07,             0.74959,             0.67129,             0.74581,             0.45899,           0.0068093,          5.7459e-05,          2.7898e-08,          0.00029504,          0.00029504,          0.00029504
                   9,            0.064318,          0.00029907,          2.1895e-07,             0.81573,             0.68816,             0.78001,             0.48766,            0.006633,           5.541e-05,          2.7877e-08,          0.00029354,          0.00029354,          0.00029354
                  10,             0.06372,          0.00029299,          2.1634e-07,             0.75444,             0.69236,             0.76302,             0.47122,           0.0068519,          5.2848e-05,          2.8081e-08,          0.00029184,          0.00029184,          0.00029184
                  11,             0.06433,           0.0002928,          2.1632e-07,              0.7797,             0.71549,             0.77991,             0.49187,           0.0067198,          5.1132e-05,          2.7812e-08,          0.00028995,          0.00028995,          0.00028995
                  12,             0.06252,          0.00028676,          2.1593e-07,             0.83605,             0.67542,             0.78898,             0.49184,           0.0065799,          5.2167e-05,          2.7519e-08,          0.00028787,          0.00028787,          0.00028787
                  13,            0.062801,          0.00028466,          2.1099e-07,                0.82,             0.71191,             0.80652,             0.49824,           0.0065819,          4.9745e-05,          2.7281e-08,          0.00028561,          0.00028561,          0.00028561
                  14,            0.063252,          0.00028507,          2.0719e-07,             0.81195,             0.71128,             0.79641,             0.49136,           0.0066212,          5.0932e-05,          2.6819e-08,          0.00028317,          0.00028317,          0.00028317
                  15,            0.061994,          0.00028161,          2.0327e-07,             0.84946,             0.68011,             0.79748,             0.49467,           0.0065593,          5.0649e-05,          2.6512e-08,          0.00028055,          0.00028055,          0.00028055
                  16,            0.062032,          0.00027862,          2.0251e-07,             0.89348,             0.66013,             0.79724,             0.49579,           0.0066599,          5.0144e-05,           2.627e-08,          0.00027775,          0.00027775,          0.00027775
                  17,            0.061651,          0.00027928,          1.9633e-07,             0.84935,              0.6756,             0.79206,             0.49479,           0.0066636,           4.916e-05,          2.5641e-08,          0.00027479,          0.00027479,          0.00027479
                  18,            0.061623,          0.00027518,          1.9959e-07,             0.88127,             0.66083,             0.79263,             0.49402,           0.0066799,           4.961e-05,          2.5201e-08,          0.00027166,          0.00027166,          0.00027166
                  19,            0.056042,          0.00028872,          2.6195e-07,             0.80991,             0.68746,             0.78261,             0.48868,           0.0066278,          5.2721e-05,           2.652e-08,          0.00026837,          0.00026837,          0.00026837
                  20,            0.038976,          0.00030585,          3.5048e-07,              0.7757,             0.67614,             0.76671,             0.48435,           0.0065763,          5.1386e-05,          2.8904e-08,          0.00026493,          0.00026493,          0.00026493
                  21,            0.037231,          0.00030551,          3.5845e-07,             0.79165,             0.66565,             0.76698,             0.48725,           0.0063312,          5.1242e-05,          3.0733e-08,          0.00026134,          0.00026134,          0.00026134
                  22,            0.036756,          0.00030164,          3.5423e-07,              0.8212,             0.64261,             0.76819,             0.48814,           0.0058668,          5.2042e-05,          3.2594e-08,           0.0002576,           0.0002576,           0.0002576
