               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10379,           0.0018395,                   0,             0.54212,             0.46217,             0.49839,             0.17535,             0.03069,           0.0006703,                   0,          0.00014995,          0.00014995,            0.025159
                   1,             0.08076,           0.0010951,                   0,             0.70285,             0.61834,             0.66071,              0.2483,            0.029163,          0.00052391,                   0,          0.00029985,          0.00029985,          0.00030863
                   2,            0.072434,          0.00096508,                   0,             0.68049,             0.65051,             0.65578,             0.24123,            0.028819,          0.00052483,                   0,          0.00029959,          0.00029959,          0.00029959
                   3,            0.070057,          0.00087998,                   0,             0.72434,             0.66971,             0.69034,             0.25415,            0.028982,          0.00050227,                   0,          0.00029959,          0.00029959,          0.00029959
                   4,            0.068422,          0.00081581,                   0,             0.74827,             0.67016,             0.69696,             0.25686,            0.028939,          0.00049802,                   0,          0.00029909,          0.00029909,          0.00029909
                   5,            0.066432,          0.00078579,                   0,             0.73529,              0.6959,             0.70445,             0.26737,              0.0288,          0.00048524,                   0,          0.00029837,          0.00029837,          0.00029837
                   6,            0.065838,          0.00072643,                   0,             0.66397,             0.68086,             0.67946,             0.25571,             0.02898,          0.00049011,                   0,          0.00029746,          0.00029746,          0.00029746
                   7,            0.064351,          0.00071676,                   0,              0.7358,             0.69409,             0.69657,             0.26958,            0.029078,           0.0004937,                   0,          0.00029635,          0.00029635,          0.00029635
                   8,            0.065608,           0.0014682,                   0,             0.67462,             0.69891,             0.69553,             0.26432,            0.029155,          0.00064781,                   0,          0.00029504,          0.00029504,          0.00029504
                   9,            0.064084,           0.0010481,                   0,             0.72727,             0.68881,              0.6765,             0.26543,            0.029142,          0.00065446,                   0,          0.00029354,          0.00029354,          0.00029354
                  10,            0.063619,          0.00084637,                   0,             0.70275,             0.68498,             0.68484,             0.26461,            0.029291,          0.00052234,                   0,          0.00029184,          0.00029184,          0.00029184
                  11,            0.061847,          0.00065665,                   0,             0.71687,              0.7066,             0.68496,             0.25852,            0.029394,          0.00052242,                   0,          0.00028995,          0.00028995,          0.00028995
                  12,            0.062491,          0.00066643,                   0,             0.76371,             0.68189,             0.72046,             0.27182,            0.029336,          0.00048343,                   0,          0.00028787,          0.00028787,          0.00028787
