               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.033938,          0.00078386,                   0,             0.89749,             0.83874,             0.91242,             0.42863,            0.013573,          0.00036307,                   0,          0.00014998,          0.00014998,            0.025153
                   1,            0.027467,           0.0004445,                   0,             0.89506,             0.87632,             0.93108,             0.46542,            0.012922,          0.00037656,                   0,          0.00029988,          0.00029988,          0.00030298
                   2,            0.026386,          0.00041601,                   0,             0.87433,             0.88233,             0.93436,             0.46797,            0.012634,          0.00034558,                   0,          0.00029959,          0.00029959,          0.00029959
                   3,            0.026101,          0.00039525,                   0,             0.88158,             0.89113,             0.94133,             0.47803,            0.012632,          0.00032357,                   0,          0.00029959,          0.00029959,          0.00029959
                   4,             0.02633,          0.00038621,                   0,             0.87746,             0.90037,              0.9472,             0.46161,            0.013137,          0.00031809,                   0,          0.00029909,          0.00029909,          0.00029909
                   5,            0.025154,          0.00037533,                   0,             0.86128,             0.91324,             0.94457,             0.47025,            0.012761,          0.00031424,                   0,          0.00029837,          0.00029837,          0.00029837
                   6,            0.025878,          0.00036901,                   0,             0.88942,             0.88426,             0.93641,             0.47144,             0.01294,          0.00032573,                   0,          0.00029746,          0.00029746,          0.00029746
                   7,            0.025245,          0.00036606,                   0,             0.90664,             0.87954,             0.94616,             0.46966,            0.012856,          0.00030846,                   0,          0.00029635,          0.00029635,          0.00029635
                   8,            0.024686,          0.00036043,                   0,             0.88275,             0.89562,             0.94528,             0.46845,            0.012836,          0.00031226,                   0,          0.00029504,          0.00029504,          0.00029504
                   9,             0.02483,          0.00035838,                   0,             0.86209,             0.92217,             0.94737,             0.47407,            0.012745,          0.00030282,                   0,          0.00029354,          0.00029354,          0.00029354
                  10,             0.02426,          0.00035194,                   0,              0.8692,             0.90613,             0.94311,             0.47707,            0.012692,          0.00030827,                   0,          0.00029184,          0.00029184,          0.00029184
                  11,            0.024364,          0.00034864,                   0,             0.88244,             0.89776,             0.94729,             0.47157,            0.012779,           0.0003086,                   0,          0.00028995,          0.00028995,          0.00028995
                  12,            0.024341,          0.00034709,                   0,             0.87534,             0.91222,             0.94757,             0.46676,            0.012832,          0.00030971,                   0,          0.00028787,          0.00028787,          0.00028787
                  13,            0.020253,           0.0003796,                   0,             0.88657,               0.898,             0.94717,             0.47008,            0.011797,           0.0003262,                   0,          0.00028561,          0.00028561,          0.00028561
                  14,            0.017543,          0.00038539,                   0,             0.88369,             0.89306,             0.94637,             0.47425,            0.011719,           0.0003192,                   0,          0.00028317,          0.00028317,          0.00028317
                  15,            0.017221,          0.00038171,                   0,             0.87464,             0.90724,             0.94647,             0.47486,             0.01174,          0.00031814,                   0,          0.00028055,          0.00028055,          0.00028055
                  16,            0.017119,          0.00036936,                   0,             0.87376,             0.90981,             0.94446,             0.47518,            0.011665,          0.00032119,                   0,          0.00027775,          0.00027775,          0.00027775
                  17,            0.016816,          0.00036222,                   0,             0.88948,             0.89003,             0.94516,             0.47892,            0.011663,          0.00031772,                   0,          0.00027479,          0.00027479,          0.00027479
                  18,            0.016596,          0.00035047,                   0,             0.88485,             0.89306,             0.94147,             0.47388,             0.01174,          0.00032139,                   0,          0.00027166,          0.00027166,          0.00027166
                  19,            0.016584,          0.00034529,                   0,             0.88219,             0.88601,             0.94286,              0.4744,            0.011766,          0.00032204,                   0,          0.00026837,          0.00026837,          0.00026837
                  20,              0.0164,          0.00034834,                   0,             0.88713,             0.89115,             0.94423,             0.47339,            0.011787,          0.00032147,                   0,          0.00026493,          0.00026493,          0.00026493
                  21,            0.016175,          0.00033728,                   0,             0.88457,             0.89263,             0.94398,             0.47207,             0.01181,          0.00032515,                   0,          0.00026134,          0.00026134,          0.00026134
                  22,            0.016122,          0.00034025,                   0,              0.8866,             0.88684,             0.94416,             0.47203,            0.011797,          0.00032455,                   0,           0.0002576,           0.0002576,           0.0002576
                  23,            0.015975,          0.00034091,                   0,             0.89418,             0.88004,             0.94474,             0.47197,            0.011806,           0.0003244,                   0,          0.00025373,          0.00025373,          0.00025373
                  24,            0.015776,          0.00033168,                   0,             0.89551,             0.87674,             0.94318,             0.47095,            0.011833,          0.00032653,                   0,          0.00024972,          0.00024972,          0.00024972
                  25,            0.015803,          0.00033125,                   0,             0.88488,             0.88684,             0.94372,             0.46963,            0.011861,          0.00032633,                   0,          0.00024559,          0.00024559,          0.00024559
                  26,            0.015584,          0.00032995,                   0,             0.89781,             0.87395,              0.9436,             0.46832,             0.01188,          0.00032587,                   0,          0.00024134,          0.00024134,          0.00024134
                  27,            0.015566,          0.00032575,                   0,             0.90178,              0.8734,             0.94435,             0.46863,            0.011893,          0.00032569,                   0,          0.00023697,          0.00023697,          0.00023697
                  28,            0.015315,          0.00032382,                   0,             0.90218,             0.87374,             0.94453,             0.46828,            0.011916,          0.00032564,                   0,           0.0002325,           0.0002325,           0.0002325
